Time,Acc_x,Acc_y,Acc_z,Left_Speed,Right_Speed
1639348383.54025,-6,2,64,None,None
1639348384.63405,-7,2,63,4,4
1639348385.57159,-6,18,61,13,14
1639348386.69665,-1,20,56,16,16
1639348387.63419,-1,31,53,24,24
1639348388.75924,-3,24,57,19,19
1639348389.69679,4,31,56,24,23
1639348390.63433,1,36,54,28,28
1639348391.75938,-2,56,20,43,44
1639348392.69692,-2,59,16,45,46
1639348393.63447,-3,59,12,45,46
1639348394.75952,-2,59,12,45,46
1639348395.69706,-1,59,11,46,46
1639348396.82212,28,53,5,41,32
1639348397.75966,35,52,2,41,30
1639348398.6972,46,38,4,33,21
1639348399.82225,32,49,8,38,28
1639348400.7598,22,56,8,44,36
1639348401.88485,-25,56,8,35,44
1639348402.82239,-33,51,10,30,40
1639348403.75994,-9,60,5,44,47
1639348404.88499,-4,62,3,46,48
1639348405.82253,-4,60,2,45,47
1639348406.76008,-25,55,9,35,43
1639348407.88513,-41,45,10,24,35
1639348408.82267,-43,43,8,23,34
1639348409.94772,-42,44,8,23,34
1639348410.88527,-39,47,6,26,37
1639348411.82281,-19,58,-11,38,45
1639348412.94786,-7,70,-40,52,55
1639348413.88541,-2,49,-14,37,38
1639348414.82295,-9,63,-22,45,49
1639348415.948,-1,63,-6,49,49
1639348416.88554,-2,62,-24,47,48
1639348417.82309,-5,57,-8,43,45
1639348418.94814,6,63,-10,49,47
1639348419.88568,36,39,-32,30,22
1639348421.01074,43,37,-28,31,21
1639348421.94828,6,59,-23,46,44
1639348422.88582,16,53,-33,41,36
1639348424.01087,4,52,-25,41,40
1639348424.94842,-11,54,-8,38,42
1639348425.88596,-5,53,-43,39,41
1639348427.01101,1,55,-24,43,43
1639348427.94856,-3,59,-36,45,46
1639348429.07361,1,59,9,46,46
1639348430.01115,6,68,7,53,51
1639348431.1362,48,36,-11,33,21
1639348432.07375,42,44,-21,34,23
1639348433.01129,53,24,-28,30,18
1639348434.13634,49,27,-27,30,18
1639348435.07389,52,24,-28,30,18
1639348436.01143,51,31,-24,32,19
1639348437.13648,4,51,-38,40,39
1639348438.07402,-3,53,-34,40,41
1639348439.01157,6,51,-38,40,38
1639348440.13662,7,49,-37,38,36
1639348441.07416,5,50,-37,39,37
1639348442.19922,-2,52,-40,40,41
1639348443.13676,5,56,-36,44,42
1639348444.0743,-54,32,-11,20,34
1639348445.19935,-60,20,2,17,31
1639348446.1369,-61,9,-1,14,27
1639348447.26195,-60,20,-2,17,31
1639348448.19949,10,55,-45,43,40
1639348449.13704,2,38,-30,30,30
1639348450.26209,54,9,-34,25,14
1639348451.19963,91,6,-34,38,11
1639348452.32468,-9,-57,35,-42,-45
1639348453.26223,1,-58,35,-45,-45
1639348454.19977,3,-57,28,-45,-44
1639348455.32482,6,-56,37,-44,-42
1639348456.26237,5,-54,34,-42,-40
1639348457.19991,2,-53,37,-41,-40
1639348458.32496,-1,-52,34,-41,-41
1639348459.26251,-2,-50,38,-38,-39
1639348460.38756,2,-46,44,-36,-35
1639348461.3251,-1,33,56,26,26
1639348462.26264,-7,-55,39,-41,-43
1639348463.3877,-15,-53,29,-36,-41
1639348464.32524,-9,-57,25,-42,-45
1639348465.26278,2,-63,12,-49,-48
1639348466.38784,14,58,27,45,40
1639348467.32538,1,62,1,48,48
1639348468.45043,50,37,-1,34,21
1639348469.38797,53,30,-9,32,19
1639348470.32552,55,31,-7,34,19
1639348471.45057,-7,65,19,48,51
1639348472.38811,13,-35,50,-27,-24
1639348473.32566,8,-53,31,-41,-38
1639348474.45071,10,-54,31,-42,-39
1639348475.38825,11,-56,31,-44,-40
1639348476.5133,14,-55,34,-43,-38
1639348477.45085,4,53,31,41,40
1639348478.38839,6,55,20,43,41
1639348479.51344,52,34,7,34,20
1639348480.45099,32,49,-8,38,28
1639348481.57604,42,42,-13,33,22
1639348482.51358,50,31,-23,32,20
1639348483.45113,49,31,-24,31,19
1639348484.38867,50,30,-22,31,19
1639348485.51372,50,31,-22,32,20
