Time (UNIX),Acc_x (1/64g),Acc_y (1/64g),Acc_z (1/64g),Left_Speed,Right_Speed,Comments
1639348385,-7,2,63,4,4,Low Speed
1639348386,-6,18,61,13,14,Increasing Speed
1639348387,-1,20,56,16,16,Moving Straight
1639348388,-1,31,53,24,24,Moving Straight
1639348389,-3,24,57,19,19,Moving Straight
1639348390,4,31,56,24,23,Moving Straight
1639348391,1,36,54,28,28,Moving Straight
1639348392,-2,56,20,43,44,Moving Straight
1639348393,-2,59,16,45,46,Moving Straight
1639348394,-3,59,12,45,46,Moving Straight
1639348395,-2,59,12,45,46,Moving Straight
1639348396,-1,59,11,46,46,Moving Straight
1639348397,28,53,5,41,32,Turning Right
1639348398,35,52,2,41,30,Turning Right
1639348399,46,38,4,33,21,Turning Right
1639348400,32,49,8,38,28,Turning Right
1639348401,22,56,8,44,36,Turning Right
1639348402,-25,56,8,35,44,Turning Left
1639348403,-33,51,10,30,40,Turning Left
,,,,,,
1639348404,-9,60,5,44,47,
,,,,,,
1639348405,-4,62,3,46,48,
,,,,,,
1639348406,-4,60,2,45,47,
,,,,,,
1639348407,-25,55,9,35,43,
,,,,,,
1639348408,-41,45,10,24,35,
,,,,,,
1639348409,-43,43,8,23,34,
,,,,,,
1639348410,-42,44,8,23,34,
,,,,,,
1639348411,-39,47,6,26,37,
,,,,,,
1639348412,-19,58,-11,38,45,
,,,,,,
1639348413,-7,70,-40,52,55,
,,,,,,
1639348414,-2,49,-14,37,38,
,,,,,,
1639348415,-9,63,-22,45,49,
,,,,,,
1639348416,-1,63,-6,49,49,
,,,,,,
1639348417,-2,62,-24,47,48,
,,,,,,
1639348418,-5,57,-8,43,45,
,,,,,,
1639348419,6,63,-10,49,47,
,,,,,,
1639348420,36,39,-32,30,22,
,,,,,,
1639348421,43,37,-28,31,21,
,,,,,,
1639348422,6,59,-23,46,44,
,,,,,,
1639348423,16,53,-33,41,36,
,,,,,,
1639348424,4,52,-25,41,40,
,,,,,,
1639348425,-11,54,-8,38,42,
,,,,,,
1639348426,-5,53,-43,39,41,
,,,,,,
1639348427,1,55,-24,43,43,
,,,,,,
1639348428,-3,59,-36,45,46,
,,,,,,
1639348429,1,59,9,46,46,
,,,,,,
1639348430,6,68,7,53,51,
,,,,,,
1639348431,48,36,-11,33,21,
,,,,,,
1639348432,42,44,-21,34,23,
,,,,,,
1639348433,53,24,-28,30,18,
,,,,,,
1639348434,49,27,-27,30,18,
,,,,,,
1639348435,52,24,-28,30,18,
,,,,,,
1639348436,51,31,-24,32,19,
,,,,,,
1639348437,4,51,-38,40,39,
,,,,,,
1639348438,-3,53,-34,40,41,
,,,,,,
1639348439,6,51,-38,40,38,
,,,,,,
1639348440,7,49,-37,38,36,
,,,,,,
1639348441,5,50,-37,39,37,
,,,,,,
1639348442,-2,52,-40,40,41,
,,,,,,
1639348443,5,56,-36,44,42,
,,,,,,
1639348444,-54,32,-11,20,34,
,,,,,,
1639348445,-60,20,2,17,31,
,,,,,,
1639348446,-61,9,-1,14,27,
,,,,,,
1639348447,-60,20,-2,17,31,
,,,,,,
1639348448,10,55,-45,43,40,
,,,,,,
1639348449,2,38,-30,30,30,
,,,,,,
1639348450,54,9,-34,25,14,
,,,,,,
1639348451,91,6,-34,38,11,
,,,,,,
1639348452,-9,-57,35,-42,-45,
,,,,,,
1639348453,1,-58,35,-45,-45,
,,,,,,
1639348454,3,-57,28,-45,-44,
,,,,,,
1639348455,6,-56,37,-44,-42,
,,,,,,
1639348456,5,-54,34,-42,-40,
,,,,,,
1639348457,2,-53,37,-41,-40,
,,,,,,
1639348458,-1,-52,34,-41,-41,
,,,,,,
1639348459,-2,-50,38,-38,-39,
,,,,,,
1639348460,2,-46,44,-36,-35,
,,,,,,
1639348461,-1,33,56,26,26,
,,,,,,
1639348462,-7,-55,39,-41,-43,
,,,,,,
1639348463,-15,-53,29,-36,-41,
,,,,,,
1639348464,-9,-57,25,-42,-45,
,,,,,,
1639348465,2,-63,12,-49,-48,
,,,,,,
1639348466,14,58,27,45,40,
,,,,,,
1639348467,1,62,1,48,48,
,,,,,,
1639348468,50,37,-1,34,21,
,,,,,,
1639348469,53,30,-9,32,19,
,,,,,,
1639348470,55,31,-7,34,19,
,,,,,,
1639348471,-7,65,19,48,51,
,,,,,,
1639348472,13,-35,50,-27,-24,
,,,,,,
1639348473,8,-53,31,-41,-38,
,,,,,,
1639348474,10,-54,31,-42,-39,
,,,,,,
1639348475,11,-56,31,-44,-40,
,,,,,,
1639348477,14,-55,34,-43,-38,
,,,,,,
1639348477,4,53,31,41,40,
,,,,,,
1639348478,6,55,20,43,41,
,,,,,,
1639348480,52,34,7,34,20,
,,,,,,
1639348480,32,49,-8,38,28,
,,,,,,
1639348482,42,42,-13,33,22,
,,,,,,
1639348483,50,31,-23,32,20,
,,,,,,
1639348483,49,31,-24,31,19,
,,,,,,
1639348484,50,30,-22,31,19,
,,,,,,
1639348486,50,31,-22,32,20,
,,,,,,
1639348486,50,34,-21,33,20,
,,,,,,
1639348488,-2,50,-32,38,39,
,,,,,,
1639348489,-2,51,-31,39,40,
,,,,,,
1639348490,-4,52,-33,40,41,
,,,,,,
1639348491,-4,51,-32,39,40,
,,,,,,
1639348492,6,45,-1,35,33,
,,,,,,
1639348493,28,-44,22,-34,-27,
,,,,,,
1639348494,3,-63,-20,-49,-48,
,,,,,,
1639348495,-4,-63,-11,-47,-49,
,,,,,,
1639348496,-4,-62,-14,-46,-48,
,,,,,,
1639348497,-2,-53,-39,-40,-41,
,,,,,,
1639348498,-2,-52,-37,-40,-41,
,,,,,,
1639348499,-4,62,0,46,48,
,,,,,,
1639348500,1,59,-11,46,46,
,,,,,,
1639348501,0,61,-12,48,48,
,,,,,,
1639348502,2,61,-13,48,47,
,,,,,,
1639348503,3,59,-13,46,45,
,,,,,,
1639348504,3,59,-13,46,45,
,,,,,,
1639348505,3,59,-13,46,45,
,,,,,,
1639348506,3,58,-12,45,44,
,,,,,,
1639348507,-4,61,-3,46,48,
,,,,,,
1639348508,3,33,-31,26,25,
,,,,,,
1639348509,-7,49,-33,36,38,
,,,,,,
1639348510,-9,48,-38,35,38,
,,,,,,
1639348511,-12,49,-36,34,38,
,,,,,,
1639348512,6,49,-37,38,36,
,,,,,,
1639348513,36,35,-12,28,20,
,,,,,,
1639348514,54,28,15,32,18,
,,,,,,
1639348515,25,52,-1,41,33,
,,,,,,
1639348516,34,48,0,38,28,
,,,,,,
1639348517,-19,-29,49,-20,-23,
,,,,,,
1639348518,-4,-37,53,-28,-29,
,,,,,,
1639348519,1,-54,18,-42,-42,
,,,,,,
1639348520,-4,-60,7,-45,-47,
,,,,,,
1639348521,-4,-65,8,-49,-51,
,,,,,,
1639348522,-3,-64,9,-49,-50,
,,,,,,
1639348523,-1,-66,2,-52,-52,
,,,,,,
1639348524,-9,-62,4,-45,-48,
,,,,,,
1639348525,1,-58,3,-45,-45,
,,,,,,
1639348526,5,55,37,43,41,
,,,,,,
1639348527,6,59,-1,46,44,
,,,,,,
1639348528,53,30,-19,32,19,
,,,,,,
1639348529,56,16,-24,28,16,
,,,,,,
1639348530,55,20,-24,29,17,
,,,,,,
1639348531,59,5,-24,25,13,
,,,,,,
1639348532,58,2,-24,23,13,
,,,,,,
1639348533,59,1,-25,23,12,
,,,,,,
1639348534,60,6,-22,26,14,
,,,,,,
1639348535,59,15,-15,29,16,
,,,,,,
