Time,Acc_x,Acc_y,Acc_z,Left_Speed,Right_Speed
1639081616.29283,3,34,52,None,None
1639081617.38663,3,37,50,29,28
1639081618.32418,1,38,49,30,30
1639081619.44923,12,41,52,32,29
1639081620.38677,8,55,19,43,40
1639081621.32432,5,58,9,45,43
1639081622.44937,-49,37,11,21,34
1639081623.38691,-59,25,4,18,33
1639081624.51196,-62,0,-9,12,24
1639081625.44951,-63,5,-6,14,27
1639081626.38705,-59,18,-4,16,30
1639081627.5121,-62,15,-5,16,30
1639081628.44965,-62,10,-5,14,28
1639081629.38719,-11,-61,5,-44,-48
1639081630.51224,-5,-63,3,-47,-49
1639081631.44979,-7,-60,6,-44,-47
1639081632.57484,9,-52,34,-41,-38
1639081633.51238,3,-57,32,-45,-44
1639081634.44992,4,-21,59,-16,-15
1639081635.57498,5,-28,57,-22,-21
1639081636.51252,7,-31,55,-24,-23
1639081637.45006,6,53,30,41,39
1639081638.57512,4,54,29,42,41
1639081639.51266,3,58,11,45,44
1639081640.63771,5,58,11,45,43
1639081641.57525,35,59,5,46,33
1639081642.5128,60,27,-3,34,18
1639081643.63785,56,25,-5,32,18
1639081644.57539,66,42,1,42,20
1639081645.70045,-25,53,18,33,41
1639081646.63799,-4,29,53,22,23
1639081647.57553,-4,9,63,7,7
1639081648.70058,-40,21,41,17,24
1639081649.63813,-37,37,34,21,29
1639081650.57567,-40,36,29,21,30
1639081651.70072,-43,37,25,21,31
1639081652.63827,-39,40,25,22,31
1639081653.76332,-35,42,25,24,33
1639081654.70086,-11,52,27,38,41
1639081655.63841,-8,54,25,39,42
1639081656.76346,-6,56,22,42,44
1639081657.701,-55,28,13,18,32
1639081658.82605,-60,-10,20,-14,-27
1639081659.7636,-60,6,10,14,26
1639081660.70114,-60,6,10,14,26
1639081661.82619,-46,41,-12,22,34
1639081662.76374,-43,43,-18,23,34
1639081663.70128,-37,36,-37,21,29
1639081664.82633,-26,52,-21,33,41
1639081665.76387,-32,45,-24,26,35
1639081666.88893,-19,56,-20,37,44
1639081667.82647,-4,58,-16,44,45
1639081668.76401,-12,-15,51,-11,-12
1639081669.88907,9,-33,54,-26,-24
1639081670.82661,12,-36,52,-28,-25
1639081671.76415,13,-38,51,-30,-27
1639081672.8892,18,-43,47,-34,-29
1639081673.82675,39,-17,49,-22,-15
1639081674.9518,5,52,30,41,39
1639081675.88934,5,53,27,41,39
1639081677.01439,-62,7,8,14,27
1639081677.95194,-38,49,-5,27,38
1639081678.88948,-37,47,-7,26,37
1639081680.01453,-30,51,-20,31,40
1639081680.95208,-32,47,-27,28,37
1639081681.88962,-26,52,-23,33,41
1639081683.01467,-23,52,-23,34,41
1639081683.95222,-23,59,-10,38,46
1639081685.07727,8,-40,32,-31,-29
1639081686.01481,17,-50,36,-39,-34
1639081686.95235,20,-49,38,-38,-32
1639081688.07741,20,-27,56,-21,-18
1639081689.01495,14,-20,60,-16,-14
1639081690.14,18,-22,58,-17,-15
1639081691.07755,17,-19,60,-15,-13
